
2025/04/24 (11:01:18) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:18) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:18) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:20) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:20) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:20) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:22) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:22) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:22) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:24) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:24) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:26) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:26) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:28) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:28) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:30) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:30) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:30) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:32) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:32) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:32) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:34) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:34) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:36) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:36) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:36) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:38) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:38) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:38) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/04/24 (11:01:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/24 (11:01:40) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/04/24 (11:01:40) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/24 (11:01:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/24 (11:01:40) | WARNING: ROCm SMI: Failed to get GPU temperature
